content,sentiment
Praktis,Positif
Mantaplah mempermudah fasilitas,Positif
Ok,Positif
Ok,Positif
Good,Positif
apk gk berjalah udah diluncurkan perbaiki masalahnya banyak sekali,Negatif
"Mohon di perbaiki terkait verifikasi wajah, karena selalu gagal pada saat verifikasi wajah",Netral
"Aplikasi bagus, sangat membantu",Positif
Mau cek BPJS,Netral
Cukup puas ga ada kendala,Positif
Bagus,Positif
"Ni aplikasi bukan bikin mudah urusan malah bikin ribet,,pulsa dh habis pengambilan wajah ma kode otp ga pernah berhasil,,ga usah bikin aplikasi kalau ribet begini,,!",Negatif
Bagai mana cara daftar antrian online,Netral
Baik,Positif
👍👍,Positif
Memuaskan,Positif
Sekarang sudah lebih mudah Tinggal klik selesai,Netral
Pelayanan sangat baik,Positif
Mohon bantuannya kenapa nomor kartu BPJS anak saya tidak bisa masuk aplikasi pilihannya hanya nomor induk KTP sedangkan anak saya masih di bawah umur tolong d perbaiki lagi,Negatif
Susah amat mau daftar mau enak malah nyusahin.kalau sekiranya gk niat buat aplikasi jngn buat aplikasi. Bikin ribet aja,Negatif
"cacat banget aplikasi nya, banyak bug, vermuk dan kode verifikasi ga masuk gagal terus. tolong diperbaiki segera!!!",Negatif
"Sangat mempersulit, verifikasi selalu gagal bahkan setelah insatall dan uninstall berkali-kali.",Negatif
Verifikasi wajah susah.no HP dan email juga susah padahal blm pernah dipakai.baru ganti no baru bisa masuk. Tapi oklah memudahkan pengguna,Positif
"Sangat membantu, dan memudahkan pendaftaran",Positif
Pas saat pengiriman kode verivikasi lewat SMS lama bgt .gmnaa sih,Negatif
Gatau apa2 ribet g jelas. Dftr lwt aplikasi mau cetak kartu fisik harus pake email masing2 orang udh dicoba tetep g bisa. Mau bayar yg bertahap ngajuin syarat mau dikirim di email tapi belum dikirim juga. Trs harus mbayar hari ini juga mendadak bangett. Pokonya g jelas,Negatif
Sangat membantu,Positif
Sangat membantu,Positif
"Aplikasinya menambah beban hidup, orang cuma mau ganti nomor karena tidak dapat terverifikasi. Eee malah di buat makin ribet di minta itu lah ini lah, tunggu 1 hari, eeh besoknya jadi 3 hari, dan berikutnya jadi 14 hari. OMGgg, perlunya teh sekarang. Besok² mungkin jadi 1 tahun. Ee nantinya di suruh bayar, karna belum bayar. Kan udah di bilang gak bisa bayar karna data belum terverifikasi, gak bisa ganti nomor, tunggu lama dan minta bayar pula. Ini mah mempersulit hidup banget namanya....",Negatif
sangat membantu,Positif
"Aplikasi sangat berat Mau masuk susahnya 1000 persen Balik lagi,balik lagi ke awal",Negatif
Verifikasi aja ribet,Negatif
sangat membantu,Positif
sangat membantu,Positif
Jkn kren,Positif
Bagus,Positif
Sangat bermanfaat,Positif
Good,Positif
Tolong perbaiki soalnya aku mau masuk selalu keluar sendiri,Negatif
apalikasi kok bug terus susah amat,Negatif
Sangat mudah sekali kalo mau pindah Faskes,Positif
Sangat puas,Positif
